subject,campus_suffix,course_number,credits,title,description,prerequisite_raw,corequisite_raw,exclusion_raw
ADHE,_V,329,3,"Developing Short Courses, Workshops and Seminars","Organization and administration of adult education events such as short courses, seminars, workshops, conferences and institutes. [3-0-0]",,,
ADHE,_V,330,3,The Community Practice of Adult Education,"Community based adult education with particular emphasis on the application of knowledge of the social, economic, cultural and political environment in developing and conducting adult education programs with an for individuals and groups. [2-3-0]",,,
ADHE,_V,375,6,Diploma Seminar and Internship in Adult Education,[2-3-0],,,
ADHE,_V,412,3,An Overview of Adult Education,"Survey of adult education theory and practice in Canada and the world. The focus is on the purpose and participation in, adult education, characteristics of learners, and the training of adult educators. [3-0-0; 3-0-0]",,,
AFST,_V,256,3,History of Africa,"An introduction to selected themes and historical approaches in African history. These may include African geography and identities, sources and methodology, pre-modern state formation, gender relations, world religions, labour systems, colonialism, and post-colonialism. Credit will be granted for only one of AFST 256 or HIST 256. Equivalency: HIST 256",,,"An introduction to selected themes and historical approaches in African history. These may include African geography and identities, sources and methodology, pre-modern state formation, gender relations, world religions, labour systems, colonialism, and post-colonialism. Credit will be granted for only one of AFST 256 or HIST 256. Equivalency: HIST 256"
AFST,_V,308,3,The Languages of Africa,"Linguistic survey of the languages of Africa, including typological and historical connections between languages, individual and comparative surveys of sound systems, word structures, sentence structures, semantics, and sociolinguistic properties of a representative selection of languages. Credit will be granted for only one of AFST 308 or LING 308 Equivalency: LING 308",,,"Linguistic survey of the languages of Africa, including typological and historical connections between languages, individual and comparative surveys of sound systems, word structures, sentence structures, semantics, and sociolinguistic properties of a representative selection of languages. Credit will be granted for only one of AFST 308 or LING 308 Equivalency: LING 308"
AFST,_V,309,3,Arts of Africa and the African Diasporas,Comparative exploration of art practices and their relationship to colonial and postcolonial histories. Credit will be granted for only one of AFST 309 or ARTH 309. Equivalency: ARTH 309,,,Comparative exploration of art practices and their relationship to colonial and postcolonial histories. Credit will be granted for only one of AFST 309 or ARTH 309. Equivalency: ARTH 309
AFST,_V,312,3,Southern Africa,"Pre-colonial, colonial, and contemporary, emphasizing South Africa. Credit will be granted for only one of AFST 312 or HIST 312. Equivalency: HIST 312",,,"Pre-colonial, colonial, and contemporary, emphasizing South Africa. Credit will be granted for only one of AFST 312 or HIST 312. Equivalency: HIST 312"
AFST,_V,313,3,Modern Africa,"Africa in the 19th and 20th Centuries: Islamic revolutions, the end of the slave trades, colonial conquest, labour struggles, Christianity’s new appeal, PanAfricanism, nationalist resistance, and decolonization. Post-independence challenges of nation-building and economic development. Cultural renaissances and the politics of tradition. Credit will be granted for only one of AFST_V 313 or HIST_V 313. Equivalency: HIST_V 313",,,"Africa in the 19th and 20th Centuries: Islamic revolutions, the end of the slave trades, colonial conquest, labour struggles, Christianity’s new appeal, PanAfricanism, nationalist resistance, and decolonization. Post-independence challenges of nation-building and economic development. Cultural renaissances and the politics of tradition. Credit will be granted for only one of AFST_V 313 or HIST_V 313. Equivalency: HIST_V 313"
AFST,_V,410,3,Seminar in African Art,Key debates in the art of Africa and the African diaspora. Credit will be granted for only one of AFST 410 or ARTH 410. Equivalency: ARTH 410 This course is not eligible for Credit/D/Fail grading.,,,Key debates in the art of Africa and the African diaspora. Credit will be granted for only one of AFST 410 or ARTH 410. Equivalency: ARTH 410 This course is not eligible for Credit/D/Fail grading.
AGEC,_V,549,12,Master's Thesis,This course is not eligible for Credit/D/Fail grading.,,,
AMNE,_V,101,3,Greek and Latin Roots of English,"Greek and Latin roots of English vocabulary and grammar, with an introduction to language history and Greek and Roman culture. Credit will be granted for only one of CLST_V 101 or AMNE_V 101. Equivalency: CLST _V 101",,,"Greek and Latin roots of English vocabulary and grammar, with an introduction to language history and Greek and Roman culture. Credit will be granted for only one of CLST_V 101 or AMNE_V 101. Equivalency: CLST _V 101"
AMNE,_V,151,3,Greek and Roman Mythology,Greek and Roman mythology and its interpretation. Emphasis on ancient texts read in English translation. Credit will be granted for only one of CLST_V 105 or AMNE_V 151. Equivalency: CLST _V 105.,,,Greek and Roman mythology and its interpretation. Emphasis on ancient texts read in English translation. Credit will be granted for only one of CLST_V 105 or AMNE_V 151. Equivalency: CLST _V 105.
AMNE,_V,160,3,"Introduction to Religions: Judaism, Christianity, Islam","An overview of the foundational texts, histories, and contemporary expressions of Judaism, Christianity, and Islam. Key concepts and approaches used in the study of religion. Credit will be granted for only one of RELG_V 101, AMNE_V 160, or RGST_V 160. Equivalency: RELG_V 101 or RGST_V 160.",,,"An overview of the foundational texts, histories, and contemporary expressions of Judaism, Christianity, and Islam. Key concepts and approaches used in the study of religion. Credit will be granted for only one of RELG_V 101, AMNE_V 160, or RGST_V 160. Equivalency: RELG_V 101 or RGST_V 160."
AMNE,_V,170,3,"Temples, Tombs, and Tyrants: The Archaeology of the Middle East, Greece, and Rome","The rise of civilizations, cultural interconnections, and power dynamics in the ancient Middle East (including Egypt), Greece, and Rome (10,000 BCE - 300 CE). Archaeological methods and interpretation, and analysis of ancient artifacts in UBC collections. Credit will be granted for only one of CNRS_V 104 or AMNE_V 170. Equivalency: CNRS _V 104.",,,"The rise of civilizations, cultural interconnections, and power dynamics in the ancient Middle East (including Egypt), Greece, and Rome (10,000 BCE - 300 CE). Archaeological methods and interpretation, and analysis of ancient artifacts in UBC collections. Credit will be granted for only one of CNRS_V 104 or AMNE_V 170. Equivalency: CNRS _V 104."
AMNE,_V,200,3,Approaching the Ancient Mediterranean & Near East,"Orientation to the peoples, places, and traditions of the ancient Mediterranean and Near East, and to analyzing different forms of source material (historical, literary, archaeological) from different perspectives.",,,
AMNE,_V,215,3,Ancient Greece,A survey of the ancient Greek world from the Minoan and Mycenaean (about 2000-1000 BCE) to the Hellenistic Period (323-30 BCE). Credit will be granted for only one of CLST_V 231 or AMNE_V 215. Equivalency: CLST _V 231.,,,A survey of the ancient Greek world from the Minoan and Mycenaean (about 2000-1000 BCE) to the Hellenistic Period (323-30 BCE). Credit will be granted for only one of CLST_V 231 or AMNE_V 215. Equivalency: CLST _V 231.
AMNE,_V,216,3,Ancient Rome,A survey of the ancient Roman world from the foundation of the city to the death of Constantine. Credit will be granted for only one of CLST_V 232 or AMNE_V 216. Equivalency: CLST_V 232.,,,A survey of the ancient Roman world from the foundation of the city to the death of Constantine. Credit will be granted for only one of CLST_V 232 or AMNE_V 216. Equivalency: CLST_V 232.
AMNE,_V,225,3,"Gladiators, Games, and Spectacle in the Greek and Roman World","History, development, and social function of various forms of spectacle in ancient Greece and Rome, from the Olympic games to the Roman arena. Credit will be granted for only one of CLST_V 260 or AMNE_V 225. Equivalency: CLST_V 260.",,,"History, development, and social function of various forms of spectacle in ancient Greece and Rome, from the Olympic games to the Roman arena. Credit will be granted for only one of CLST_V 260 or AMNE_V 225. Equivalency: CLST_V 260."
AMNE,_V,235,3,Greek Philosophy I,"The Pre-Socratics; Socrates; Sophists; Plato. Recommended as preparation for AMNE_V 236/PHIL_V 212 and PHIL_V 310. Credit will be granted for only one of CLST_V 211, AMNE_V 235 or PHIL_V 211. Equivalency: PHIL_V 211 or CLST_V 211.",,,"The Pre-Socratics; Socrates; Sophists; Plato. Recommended as preparation for AMNE_V 236/PHIL_V 212 and PHIL_V 310. Credit will be granted for only one of CLST_V 211, AMNE_V 235 or PHIL_V 211. Equivalency: PHIL_V 211 or CLST_V 211."
AMNE,_V,236,3,Greek Philosophy II,"Aristotle; selections from Hellenistic and Late Antique Philosophy. Recommended as preparation for PHIL_V 310 and PHIL_V 311. Credit will be granted for only one of CLST_V 212, AMNE_V 236 or PHIL_V 212. Equivalency: PHIL_V 212 or CLST_V 212.",,,"Aristotle; selections from Hellenistic and Late Antique Philosophy. Recommended as preparation for PHIL_V 310 and PHIL_V 311. Credit will be granted for only one of CLST_V 212, AMNE_V 236 or PHIL_V 212. Equivalency: PHIL_V 212 or CLST_V 212."
AMNE,_V,251,3,Near Eastern and Biblical Mythology,"An introduction to the world of Near Eastern mythology, from the Gilgamesh Epic to the Book of Genesis and beyond. Credit will be granted for only one of RELG_V 201 or AMNE_V 251. Equivalency: RELG_V 201.",,,"An introduction to the world of Near Eastern mythology, from the Gilgamesh Epic to the Book of Genesis and beyond. Credit will be granted for only one of RELG_V 201 or AMNE_V 251. Equivalency: RELG_V 201."
AMNE,_V,260,3,Scriptures of the Near East,"An introduction to the scriptures of Judaism, Christianity, and Islam. Credit will be granted for only one of RELG_V 203 or AMNE_V 260. Equivalency: RELG_V 203.",,,"An introduction to the scriptures of Judaism, Christianity, and Islam. Credit will be granted for only one of RELG_V 203 or AMNE_V 260. Equivalency: RELG_V 203."
AMNE,_V,261,3,Eden to Exile: Introduction to the Hebrew Bible,"An overview of the Hebrew Bible (Old Testament), with emphasis on its ancient Near Eastern context; its competing religious perspectives; and its limits as a historical source. Credit will be granted for only one of RELG_V 209 or AMNE_V 261. Equivalency: RELG_V 209.",,,"An overview of the Hebrew Bible (Old Testament), with emphasis on its ancient Near Eastern context; its competing religious perspectives; and its limits as a historical source. Credit will be granted for only one of RELG_V 209 or AMNE_V 261. Equivalency: RELG_V 209."
AMNE,_V,262,3,Introduction to Judaism and its Texts,"What is Judaism? An overview of the key texts that have defined the Jewish religion, from the Hebrew Bible through works of contemporary thinkers. Recommended as a basis for upper-level courses in religious studies. Credit will be granted for only one of RELG_V 206 or AMNE_V 262. Equivalency: RELG_V 206.",,,"What is Judaism? An overview of the key texts that have defined the Jewish religion, from the Hebrew Bible through works of contemporary thinkers. Recommended as a basis for upper-level courses in religious studies. Credit will be granted for only one of RELG_V 206 or AMNE_V 262. Equivalency: RELG_V 206."
AMNE,_V,264,3,The New Testament and Early Christianity,"The origins of Christianity as reflected in the New Testament and contemporaneous literature. Credit will be granted for only one of RELG_V 316, AMNE_V 264, or AMNE_V 367. Equivalency: RELG_V 316 or AMNE_V 367.",,,"The origins of Christianity as reflected in the New Testament and contemporaneous literature. Credit will be granted for only one of RELG_V 316, AMNE_V 264, or AMNE_V 367. Equivalency: RELG_V 316 or AMNE_V 367."
AMNE,_V,265,3,History of Christianity to 800 CE,An introduction to the history of Christianity from its origins with Jesus through the coronation of Charlemagne as Roman Emperor in 800 CE. Credit will be granted for only one of AMNE_V 265 or RELG_V 210. Equivalency: RELG_V 210.,,,An introduction to the history of Christianity from its origins with Jesus through the coronation of Charlemagne as Roman Emperor in 800 CE. Credit will be granted for only one of AMNE_V 265 or RELG_V 210. Equivalency: RELG_V 210.
AMNE,_V,278,3,The Archaeology of Life and Death in the Roman Empire,"The lives of non-elite individuals and groups living under the Roman Empire, seen through material evidence and its interpretation. Identity, urbanism, economy, agriculture, diet, religion, Romanization, and burial. CNRS_V 104, AMNE_V 170 or ARCL_V 203 recommended as preparation. Credit will be granted for only one of CNRS_V 206 or AMNE_V 278. Equivalency: CNRS_V 206.",,,"The lives of non-elite individuals and groups living under the Roman Empire, seen through material evidence and its interpretation. Identity, urbanism, economy, agriculture, diet, religion, Romanization, and burial. CNRS_V 104, AMNE_V 170 or ARCL_V 203 recommended as preparation. Credit will be granted for only one of CNRS_V 206 or AMNE_V 278. Equivalency: CNRS_V 206."
AMNE,_V,279,3,Byzantium: Arts of an Empire,"Art, architecture, and material culture of the Byzantine Empire situated in the eastern Mediterranean (c. 300-1453); focus on social and cultural contexts of artistic production, including interactions with neighboring cultures. Credit will be granted for only one of CNRS_V 207, AMNE_V 279 or ARTH_V 210. Equivalency: ARTH_V 210 or CNRS_V 207.",,,"Art, architecture, and material culture of the Byzantine Empire situated in the eastern Mediterranean (c. 300-1453); focus on social and cultural contexts of artistic production, including interactions with neighboring cultures. Credit will be granted for only one of CNRS_V 207, AMNE_V 279 or ARTH_V 210. Equivalency: ARTH_V 210 or CNRS_V 207."
AMNE,_V,300,3,Uses and Abuses of Antiquity,"Modern receptions and engagements with literature, history, philosophy, religion, archaeology, and art of the ancient Mediterranean and Near East with a focus on public writing. Prerequisite: Second-year standing or higher. AMNE 200 is recommended.",Second-year standing or higher. AMNE 200 is recommended.,,
AMNE,_V,301,3,The Technical Terms of Medicine and Biological Science,"Acquaints the student with the Greek and Latin elements from which most specialized terms of modern medicine are constructed. Intended primarily for students planning to enter the medical, pharmaceutical, or biological sciences. Credit will be granted for only one of CLST_V 301 or AMNE_V 301. Equivalency: CLST_V 301.",,,"Acquaints the student with the Greek and Latin elements from which most specialized terms of modern medicine are constructed. Intended primarily for students planning to enter the medical, pharmaceutical, or biological sciences. Credit will be granted for only one of CLST_V 301 or AMNE_V 301. Equivalency: CLST_V 301."
AMNE,_V,306,3,Ancient Technology: Greece and Rome,"The origins, achievements, and social impacts of applied technology in the Greek and Roman world from the Bronze Age to Late Antiquity (c. 1500 BCE - 400 CE), with special attention to archaeological evidence. Credit will be granted for only one of CLST_V 306 or AMNE_V 306. Equivalency: CLST_V 306.",,,"The origins, achievements, and social impacts of applied technology in the Greek and Roman world from the Bronze Age to Late Antiquity (c. 1500 BCE - 400 CE), with special attention to archaeological evidence. Credit will be granted for only one of CLST_V 306 or AMNE_V 306. Equivalency: CLST_V 306."
AMNE,_V,311,3,Prehistoric Egypt,A survey of the development and evolution of prehistoric humans and their material culture in Egypt from the Lower Paleolithic to the Chalcolithic. Credit will be granted for only one of NEST_V 311 or AMNE_V 311. Equivalency: NEST_V 311.,,,A survey of the development and evolution of prehistoric humans and their material culture in Egypt from the Lower Paleolithic to the Chalcolithic. Credit will be granted for only one of NEST_V 311 or AMNE_V 311. Equivalency: NEST_V 311.
AMNE,_V,312,3,History of Ancient Egypt,"History and culture of Ancient Egyptian civilization from political, intellectual, social and environmental perspectives. Credit will be granted for only one of NEST_V 303 or AMNE_V 312. Equivalency: NEST_V 303.",,,"History and culture of Ancient Egyptian civilization from political, intellectual, social and environmental perspectives. Credit will be granted for only one of NEST_V 303 or AMNE_V 312. Equivalency: NEST_V 303."
AMNE,_V,314,3,Early Empires of the Ancient Middle East,A history from 3100-333 BC with emphasis on Mesopotamia. Credit will be granted for only one of NEST_V 301 or AMNE_V 314. Equivalency: NEST_V 301.,,,A history from 3100-333 BC with emphasis on Mesopotamia. Credit will be granted for only one of NEST_V 301 or AMNE_V 314. Equivalency: NEST_V 301.
AMNE,_V,316,3,The Athenians and their Empire,"The sources (literary, epigraphical and other) for Athens' emergence as one of the two leading city-states in late archaic and classical Greece and the stages by which her empire grew. Credit will be granted for only one of CLST_V 355 or AMNE_V 316. Prerequisite: One of CLST_V 231, AMNE_V 215. Equivalency: CLST_V 355.","One of CLST_V 231, AMNE_V 215. Equivalency: CLST_V 355.",,"The sources (literary, epigraphical and other) for Athens' emergence as one of the two leading city-states in late archaic and classical Greece and the stages by which her empire grew. Credit will be granted for only one of CLST_V 355 or AMNE_V 316. Prerequisite: One of CLST_V 231, AMNE_V 215. Equivalency: CLST_V 355."
AMNE,_V,317,3,Alexander the Great and his Empire,"The rise of Macedon under Philip II leading to its domination of Greece and the overthrow of the Persian Empire by his son, Alexander; the subsequent spread of Greek civilization in the East. Credit will be granted for only one of CLST_V 356 or AMNE_V 317. Prerequisite: One of CLST_V 231, AMNE_V 215. Equivalency: CLST_V 356.","One of CLST_V 231, AMNE_V 215. Equivalency: CLST_V 356.",,"The rise of Macedon under Philip II leading to its domination of Greece and the overthrow of the Persian Empire by his son, Alexander; the subsequent spread of Greek civilization in the East. Credit will be granted for only one of CLST_V 356 or AMNE_V 317. Prerequisite: One of CLST_V 231, AMNE_V 215. Equivalency: CLST_V 356."
AMNE,_V,318,3,The Roman Republic,"Rome from the foundation to the Augustan settlement. Constitutional development; the workings and failure of the Republican political system; acquisition and growth of Empire; the political, social, and economic consequences of imperialism. Credit will be granted for only one of CLST_V 352 or AMNE_V 318. Prerequisite: One of CLST_V 232, AMNE_V 216. Equivalency: CLST_V 352.","One of CLST_V 232, AMNE_V 216. Equivalency: CLST_V 352.",,"Rome from the foundation to the Augustan settlement. Constitutional development; the workings and failure of the Republican political system; acquisition and growth of Empire; the political, social, and economic consequences of imperialism. Credit will be granted for only one of CLST_V 352 or AMNE_V 318. Prerequisite: One of CLST_V 232, AMNE_V 216. Equivalency: CLST_V 352."
AMNE,_V,319,3,The Early Roman Empire,"Roman imperial history during the Julio-Claudian and Flavian periods (30 BC-96 AD). Credit will be granted for only one of CLST_V 353 or AMNE_V 319. Prerequisite: One of CLST_V 232, AMNE_V 216. Equivalency: CLST_V 353.","One of CLST_V 232, AMNE_V 216. Equivalency: CLST_V 353.",,"Roman imperial history during the Julio-Claudian and Flavian periods (30 BC-96 AD). Credit will be granted for only one of CLST_V 353 or AMNE_V 319. Prerequisite: One of CLST_V 232, AMNE_V 216. Equivalency: CLST_V 353."
AMNE,_V,323,3,Slavery in the Ancient Greek and Roman World,"The study and history of slavery in the Greek and Roman worlds as a political, legal, economic, social, and cultural phenomenon. Credit will be granted for only one of CLST_V 320 or AMNE_V 323. Equivalency: CLST_V 320.",,,"The study and history of slavery in the Greek and Roman worlds as a political, legal, economic, social, and cultural phenomenon. Credit will be granted for only one of CLST_V 320 or AMNE_V 323. Equivalency: CLST_V 320."
AMNE,_V,324,3,"Women in the Bronze Age, Classical Greek and Hellenistic Cultures","The images projected in mythology, literature, and art are compared with realities of women's lives insofar as they can be reconstructed from historical, legal, and archaeological records. Credit will be granted for only one of CLST_V 311 or AMNE_V 324. Equivalency: CLST_V 311.",,,"The images projected in mythology, literature, and art are compared with realities of women's lives insofar as they can be reconstructed from historical, legal, and archaeological records. Credit will be granted for only one of CLST_V 311 or AMNE_V 324. Equivalency: CLST_V 311."
AMNE,_V,325,3,Women in the Roman World of Republican and Imperial Times,"Women in the Roman world in the culture of the Republic and the Empire. Literary, artistic, and mythological sources are compared and contrasted to historical, legal, and archaeological records. Credit will be granted for only one of CLST_V 312 or AMNE_V 325. Equivalency: CLST_V 312.",,,"Women in the Roman world in the culture of the Republic and the Empire. Literary, artistic, and mythological sources are compared and contrasted to historical, legal, and archaeological records. Credit will be granted for only one of CLST_V 312 or AMNE_V 325. Equivalency: CLST_V 312."
AMNE,_V,326,3,Ancient Greek Warfare,"Ancient Greek methods and tactics of war plus underlying social, religious and philosophical concepts relating to warfare, through sources in translation. Credit will be granted for only one of CLST_V 329 or AMNE_V 326. Equivalency: CLST_V 329.",,,"Ancient Greek methods and tactics of war plus underlying social, religious and philosophical concepts relating to warfare, through sources in translation. Credit will be granted for only one of CLST_V 329 or AMNE_V 326. Equivalency: CLST_V 329."
AMNE,_V,327,3,The Roman Army,Rome's military from the early Republic to the Imperial period. Topics range from those of a military nature such as equipment and strategy to social topics such as policing and marriage of soldiers. Credit will be granted for only one of CLST_V 319 or AMNE_V 327. Equivalency: CLST_V 319.,,,Rome's military from the early Republic to the Imperial period. Topics range from those of a military nature such as equipment and strategy to social topics such as policing and marriage of soldiers. Credit will be granted for only one of CLST_V 319 or AMNE_V 327. Equivalency: CLST_V 319.
AMNE,_V,331,3,Jewish Law,"History, sources, theoretical issues and current state of research about early Jewish legal traditions, focusing on close readings of classic primary texts in English translations. Credit will be granted for only one of RELG_V 335 or AMNE_V 331. Equivalency: RELG_V 335.",,,"History, sources, theoretical issues and current state of research about early Jewish legal traditions, focusing on close readings of classic primary texts in English translations. Credit will be granted for only one of RELG_V 335 or AMNE_V 331. Equivalency: RELG_V 335."
AMNE,_V,332,3,Greek Law,"The study of Greek legal theory, practice, and institutions from their origin in self-help, through the early lawgivers and their codes, to the developed system of Athens in the fifth and fourth centuries. A variety of test cases from the works of the Greek orators will be explored. Credit will be granted for only one of CLST_V 307 or AMNE_V 332. Equivalency: CLST_V 307.",,,"The study of Greek legal theory, practice, and institutions from their origin in self-help, through the early lawgivers and their codes, to the developed system of Athens in the fifth and fourth centuries. A variety of test cases from the works of the Greek orators will be explored. Credit will be granted for only one of CLST_V 307 or AMNE_V 332. Equivalency: CLST_V 307."
AMNE,_V,333,3,Roman Law,"The development of Roman private law during the classical period with special attention to family law, contract and delict. Credit will be granted for only one of CLST_V 308 or AMNE_V 333. Equivalency: CLST_V 308.",,,"The development of Roman private law during the classical period with special attention to family law, contract and delict. Credit will be granted for only one of CLST_V 308 or AMNE_V 333. Equivalency: CLST_V 308."
AMNE,_V,341,3,"Sex, Lies, and Violence in the Hebrew Bible","An exploration of the Bible's dark side, with emphasis on texts that center on sex, deceit, and murder. Credit will be granted for only one of RELG_V 307 or AMNE_V 341. Equivalency: RELG_V 307.",,,"An exploration of the Bible's dark side, with emphasis on texts that center on sex, deceit, and murder. Credit will be granted for only one of RELG_V 307 or AMNE_V 341. Equivalency: RELG_V 307."
AMNE,_V,342,3,Translating the Bible,"Key issues involved in translating the Bible, with attention to gender, sexuality, race, ethnicity, religion, and colonialism.",,,
AMNE,_V,345,3,Greek Epic,"Homer's Iliad and Odyssey, in translation. Credit will be granted for only one of CLST_V 313 or AMNE_V 345. Prerequisite: Second-year standing or above. Equivalency: CLST_V 313.",Second-year standing or above. Equivalency: CLST_V 313.,,"Homer's Iliad and Odyssey, in translation. Credit will be granted for only one of CLST_V 313 or AMNE_V 345. Prerequisite: Second-year standing or above. Equivalency: CLST_V 313."
AMNE,_V,346,3,Latin Epic,"The development of the epic genre in Latin, with detailed study of Vergil's Aeneid, Ovid's Metamorphoses, and Lucan's Civil War, in translation. Credit will be granted for only one of CLST_V 314 or AMNE_V 346. Prerequisite: Second-year standing or above. Equivalency: CLST_V 314.",Second-year standing or above. Equivalency: CLST_V 314.,,"The development of the epic genre in Latin, with detailed study of Vergil's Aeneid, Ovid's Metamorphoses, and Lucan's Civil War, in translation. Credit will be granted for only one of CLST_V 314 or AMNE_V 346. Prerequisite: Second-year standing or above. Equivalency: CLST_V 314."
AMNE,_V,347,3,Classical Comedy,"The plays of the Greek and Roman comic dramatists: Aristophanes, Menander, Plautus and Terence, in translation. Credit will be granted for only one of CLST_V 318 or AMNE_V 347. Prerequisite: Second-year standing and above. Equivalency: CLST _V 318.",Second-year standing and above. Equivalency: CLST _V 318.,,"The plays of the Greek and Roman comic dramatists: Aristophanes, Menander, Plautus and Terence, in translation. Credit will be granted for only one of CLST_V 318 or AMNE_V 347. Prerequisite: Second-year standing and above. Equivalency: CLST _V 318."
AMNE,_V,348,3,Classical Tragedy,"The plays of the Greek and Roman tragic dramatists, in translation. Credit will be granted for only one of CLST_V 317 or AMNE_V 348. Recommended pre-requisite: One of CLST_V 105, AMNE_V 151. Restricted to students with second year standing or higher. Equivalency: CLST _V 317.",,,"The plays of the Greek and Roman tragic dramatists, in translation. Credit will be granted for only one of CLST_V 317 or AMNE_V 348. Recommended pre-requisite: One of CLST_V 105, AMNE_V 151. Restricted to students with second year standing or higher. Equivalency: CLST _V 317."
AMNE,_V,351,3,Religion in Ancient Egypt,"A survey of the religious beliefs, cults, and religious institutions in Pharaonic Egypt. Credit will be granted for only one of NEST_V 312 or AMNE_V 351. Equivalency: NEST _V 312.",,,"A survey of the religious beliefs, cults, and religious institutions in Pharaonic Egypt. Credit will be granted for only one of NEST_V 312 or AMNE_V 351. Equivalency: NEST _V 312."
AMNE,_V,355,3,Greek Religion,A survey of both traditional and exoteric religious practices from the Archaic to the Hellenistic period. Some knowledge of ancient Greece is recommended. Credit will be granted for only one of CLST_V 333 or AMNE_V 355. Equivalency: CLST _V 333.,,,A survey of both traditional and exoteric religious practices from the Archaic to the Hellenistic period. Some knowledge of ancient Greece is recommended. Credit will be granted for only one of CLST_V 333 or AMNE_V 355. Equivalency: CLST _V 333.
AMNE,_V,356,3,Roman Religion,"Roman religions between the ninth century BCE and the fourth century CE, including mystery religions, magic, emperor worship, and early Christianity, with particular attention devoted to the primary sources. Some knowledge of ancient Rome is recommended. Credit will be granted for only one of CLST_V 334 or AMNE_V 356. Equivalency: CLST _V 334.",,,"Roman religions between the ninth century BCE and the fourth century CE, including mystery religions, magic, emperor worship, and early Christianity, with particular attention devoted to the primary sources. Some knowledge of ancient Rome is recommended. Credit will be granted for only one of CLST_V 334 or AMNE_V 356. Equivalency: CLST _V 334."
AMNE,_V,361,3,The Origins of Judaism,"Surveys the history of Jews and Judaism in the Second Temple era, from the destruction of the First Jerusalem Temple (586 B.C.E.) to the beginnings of the rabbinic movement (200 C.E.). Credit will be granted for only one of RELG_V 330 or AMNE_V 361. Equivalency: RELG_V 330.",,,"Surveys the history of Jews and Judaism in the Second Temple era, from the destruction of the First Jerusalem Temple (586 B.C.E.) to the beginnings of the rabbinic movement (200 C.E.). Credit will be granted for only one of RELG_V 330 or AMNE_V 361. Equivalency: RELG_V 330."
AMNE,_V,363,3,"Talmud, Midrash and the Rabbinic Imagination","The Talmud, Midrash, and other late-antique (3rd - 7th centuries) rabbinic writings, focusing on biblical interpretation and narratives. Credit will be granted for only one of RELG_V 308 or AMNE_V 363. Equivalency: RELG_V 308.",,,"The Talmud, Midrash, and other late-antique (3rd - 7th centuries) rabbinic writings, focusing on biblical interpretation and narratives. Credit will be granted for only one of RELG_V 308 or AMNE_V 363. Equivalency: RELG_V 308."
AMNE,_V,364,3,"Magic, Prophecy, and Divination in the Biblical World","Textual, contextual, and comparative exploration of the reciprocal relations between gods and people in the Hebrew Bible, Near Eastern ritual texts, and ancient experience. Credit will be granted for only one of RELG 305 or AMNE 364. Equivalency: RELG 305.",,,"Textual, contextual, and comparative exploration of the reciprocal relations between gods and people in the Hebrew Bible, Near Eastern ritual texts, and ancient experience. Credit will be granted for only one of RELG 305 or AMNE 364. Equivalency: RELG 305."
